#,Listing ID,St,MLS Area,Address,# Beds,# Full Baths,# Half Baths,# Garage Spaces,Levels,Year Built,Acres,SqFt,List Price,LP$/SqFt,Close$/SqFt,Close Price,Close Date,DOM,CDOM,Zip Code,Type of Home
1,9358197,C,PF,18002 Malnati Dr,2,2,1,2.0,2,2019,0.1513,"1,264","$299,000",$236.55,$225.08,"$284,500",10/30/2023,7,7,78660,Single Family
1,6379327,C,PF,21300 Secretariat Ridge Ln,3,2,0,2.0,1,1999,0.1056,"1,474","$290,000",$196.74,$196.74,"$290,000",12/18/2023,53,53,78660,Single Family
1,5158541,C,PF,20810 Pacers Gait Ln,3,2,0,2.0,1,1997,0.1481,"1,274","$312,500",$245.29,$231.55,"$295,000",11/03/2023,112,112,78660,Single Family
1,1703327,C,PF,18412 Mammoth Cave Blvd,3,2,1,2.0,2,2014,0.0898,"1,314","$315,000",$239.73,$226.79,"$298,000",11/15/2023,9,9,78660,Single Family
1,2354407,C,PF,1014 Greenhill Dr,3,2,0,2.0,1,1983,0.23,"1,370","$299,000",$218.25,$218.25,"$299,000",12/05/2023,5,5,78660,Single Family
1,4705998,C,PF,17912 Papaveri Way,3,2,1,2.0,2,2021,0.1513,"1,298","$299,900",$231.05,$231.05,"$299,900",11/21/2023,4,4,78660,Single Family
1,4022372,C,PF,17904 Kenai Fjords Dr Unit #1,3,2,1,2.0,2,2005,0.0999,"1,496","$315,000",$210.56,$200.53,"$300,000",03/26/2024,14,14,78660,Single Family
1,6881949,C,PF,1210 Acanthus St,3,2,1,2.0,2,1997,0.118,"1,654","$300,000",$181.38,$181.38,"$300,000",12/21/2023,3,3,78660,Single Family
1,3272724,C,PF,1400 Anhalt Dr Unit #45B,3,2,0,2.0,1,2019,0.1444,"1,332","$300,000",$225.23,$225.23,"$300,000",01/11/2024,6,6,78660,Single Family
1,3697952,C,PF,21415 Grand National Ave,3,2,0,2.0,1,1999,0.108,"1,474","$300,000",$203.53,$203.53,"$300,000",12/13/2023,57,55,78660,Single Family
1,4663336,C,PF,1615 Royal Ascot Dr,3,2,0,2.0,1,2000,0.144,"1,474","$290,000",$196.74,$203.82,"$300,435",01/16/2024,6,5,78660,Single Family
1,6828079,C,PF,901 Valley Glen Cv,3,2,0,2.0,1,1987,0.181,"1,380","$329,000",$238.41,$219.20,"$302,500",03/07/2024,30,29,78660,Single Family
1,6981909,C,PF,17831 Loch Linnhe Loop,3,2,1,2.0,2,1998,0.1166,"1,402","$310,000",$221.11,$216.12,"$303,000",02/27/2024,5,5,78660,Single Family
1,3949976,C,PF,14513 Spearmint Tea Trl,3,2,0,2.0,1,2003,0.1111,"1,346","$338,000",$251.11,$226.60,"$305,000",12/18/2023,33,33,78660,Single Family
1,7040666,C,PF,21216 Grand National Ave,3,2,0,2.0,1,1998,0.11,"1,217","$309,499",$254.31,$250.62,"$305,000",12/15/2023,132,131,78660,Single Family
1,6052851,C,PF,1154 Kentra Dr,3,2,0,2.0,1,1997,0.1219,"1,299","$310,000",$238.65,$236.72,"$307,500",02/23/2024,103,102,78660,Single Family
1,2272656,C,PF,1215 Pitcairn Dr,4,2,0,0.0,1,1985,0.152,"1,505","$325,000",$215.95,$205.98,"$310,000",04/02/2024,26,25,78660,Single Family
1,9107736,C,PF,411 Suzzane Rd,3,2,0,2.0,1,1983,0.2023,"1,288","$310,000",$240.68,$240.68,"$310,000",04/01/2024,99,99,78660,Single Family
1,1202571,C,PF,14412 Lemongrass Ln,3,2,1,2.0,2,2002,0.1163,"1,590","$315,000",$198.11,$194.97,"$310,000",03/28/2024,191,191,78660,Single Family
1,3345704,C,PF,1705 Darjeeling Dr,4,2,1,2.0,2,2005,0.1188,"1,590","$300,000",$188.68,$194.97,"$310,000",03/21/2024,5,5,78660,Single Family
1,2969504,C,PF,15127 Lantern Dr,3,2,0,2.0,1,2000,0.132,"1,481","$320,000",$216.07,$209.99,"$311,000",02/01/2024,56,55,78660,Single Family
1,8235844,C,PF,707 Smoke Signal Pass,3,2,1,2.0,2,1990,0.0985,"1,956","$338,000",$172.80,$159.51,"$312,000",01/02/2024,161,161,78660,Single Family
1,6443034,C,PF,19418 Caymus Dr,3,2,1,2.0,2,2020,0.1148,"1,640","$323,000",$196.95,$190.85,"$313,000",12/22/2023,125,124,78660,Single Family
1,3355178,C,PF,17512 Bridgefarmer Blvd,3,2,0,2.0,1,2014,0.1936,"1,473","$315,000",$213.85,$213.85,"$315,000",04/04/2024,3,2,78660,Single Family
1,7818025,C,PF,16501 Colwyn Bay Cv,3,2,0,2.0,1,1985,0.172,"1,094","$315,000",$287.93,$287.93,"$315,000",03/29/2024,8,7,78660,Single Family
1,1470838,C,PF,1403 Gatlinburg Dr,3,2,0,2.0,1,1983,0.2217,"1,367","$314,990",$230.42,$230.43,"$315,000",03/08/2024,5,5,78660,Single Family
1,4413088,C,PF,1112 Lochaline Loop,3,2,0,2.0,1,1997,0.1653,"1,631","$324,500",$198.96,$193.13,"$315,000",04/12/2024,56,34,78660,Single Family
1,4238325,C,PF,18004 Great Basin Ave,3,2,1,2.0,2,2004,0.0884,"1,346","$334,000",$248.14,$234.03,"$315,000",01/11/2024,32,28,78660,Single Family
1,3041752,C,PF,18416 Mammoth Cave Blvd,3,2,0,2.0,1,2014,0.0898,"1,292","$325,000",$251.55,$243.81,"$315,000",12/18/2023,41,41,78660,Single Family
1,7673278,C,PF,1005 Antique Heritage Dr,3,2,0,2.0,1,2001,0.1319,"1,202","$309,000",$257.07,$262.06,"$315,000",01/16/2024,29,29,78660,Single Family
1,5850813,C,PF,17617 Bridgefarmer Blvd,3,2,0,2.0,1,2008,0.194,"1,496","$319,900",$213.84,$213.84,"$319,900",02/14/2024,76,76,78660,Single Family
1,2530402,C,PF,14804 Falling Stone Ln,3,2,0,2.0,1,2007,0.132,"1,355","$315,000",$232.47,$236.16,"$320,000",03/01/2024,10,10,78660,Single Family
1,9225982,C,PF,17909 Shafer Dr,3,2,0,2.0,1,2021,0.1176,"1,412","$330,000",$233.71,$226.63,"$320,000",02/29/2024,46,46,78660,Single Family
1,9809159,C,PF,19410 Cloudy Bay Dr,3,2,1,2.0,2,2021,0.1148,"1,645","$340,000",$206.69,$194.53,"$320,000",03/06/2024,168,168,78660,Single Family
1,8590977,C,PF,16805 Ruggio Rd,3,2,0,2.0,1,2015,0.1936,"1,671","$329,900",$197.43,$191.50,"$320,000",01/17/2024,176,175,78660,Single Family
1,3719236,C,PF,1416 Sweet Leaf Ln,3,2,0,2.0,1,2004,0.172,"1,513","$325,000",$214.81,$212.16,"$321,000",03/18/2024,14,14,78660,Single Family
1,7993696,C,PF,13826 Lothian Dr,3,2,1,2.0,2,1992,0.085,"1,495","$335,000",$224.08,$214.72,"$321,000",12/27/2023,74,74,78660,Single Family
1,3317190,C,PF,1009 GREY CASTLE Dr,3,2,0,2.0,1,2003,0.1462,"1,167","$328,900",$281.83,$275.24,"$321,200",11/29/2023,29,29,78660,Single Family
1,8186784,C,PF,15016 Drusillas Dr,4,2,1,2.0,2,2002,0.202,"1,745","$342,034",$196.01,$184.55,"$322,034",12/21/2023,7,6,78660,Single Family
1,8283668,C,PF,15515 Miss Adriennes Path,3,2,0,2.0,1,2001,0.1338,"1,271","$315,000",$247.84,$255.70,"$325,000",03/05/2024,6,5,78660,Single Family
1,6393571,C,PF,902 W Noton St,3,2,0,2.0,1,1976,0.2705,"1,372","$334,990",$244.16,$236.88,"$325,000",03/28/2024,62,62,78660,Single Family
1,8613206,C,PF,1345 Coronation Way,3,2,1,2.0,2,2005,0.1485,"1,590","$325,000",$204.40,$204.40,"$325,000",02/15/2024,51,51,78660,Single Family
1,8943585,C,PF,13924 Heidhorn Dr,3,2,0,2.0,1,2019,0.1056,"1,370","$334,000",$243.80,$237.23,"$325,000",12/06/2023,3,3,78660,Single Family
1,3712307,C,PF,804 Sylvia Ln,3,2,0,2.0,1,1984,0.2207,"1,431","$329,985",$230.60,$227.11,"$325,000",03/20/2024,66,65,78660,Single Family
1,8017991,C,PF,900 Flatters Way,3,2,0,2.0,1,2006,0.1378,"1,355","$340,000",$250.92,$239.85,"$325,000",02/21/2024,76,76,78660,Single Family
1,7975341,C,PF,18821 Obed River Dr,3,2,0,2.0,1,2016,0.14,"1,509","$359,900",$238.50,$215.37,"$325,000",11/17/2023,9,8,78660,Single Family
1,9644109,C,PF,903 Edgerly Ln,3,2,0,2.0,1,1983,0.174,"1,259","$325,000",$258.14,$258.14,"$325,000",11/15/2023,13,13,78660,Single Family
1,3689225,C,PF,3924 Hidden Lakes Xing,4,2,0,2.0,1,2005,0.1452,"1,961","$350,000",$178.48,$165.73,"$325,000",01/22/2024,98,275,78660,Single Family
1,9360887,C,PF,511 Suzzane Rd,3,2,0,1.0,1,1983,0.2047,"1,428","$325,000",$227.59,$227.59,"$325,000",10/24/2023,1,1,78660,Single Family
1,3977429,C,PF,13305 Lismore Ln,4,2,1,2.0,2,2009,0.0996,"1,719","$325,000",$189.06,$189.06,"$325,000",11/17/2023,40,39,78660,Single Family
1,8774527,C,PF,13417 Lismore Ln,3,2,0,2.0,1,2010,0.0952,"1,429","$324,900",$227.36,$227.43,"$325,000",10/31/2023,69,69,78660,Single Family
1,9696067,C,PF,1027 Liffey Dr,3,2,0,2.0,1,1998,0.1757,"1,573","$329,900",$209.73,$207.25,"$326,000",01/16/2024,32,32,78660,Single Family
1,2897694,C,PF,17130 Dashwood Creek Dr,3,2,0,2.0,1,1999,0.1263,"1,722","$329,900",$191.58,$189.90,"$327,000",04/15/2024,21,21,78660,Single Family
1,9050669,C,PF,13512 Henneman Dr,3,2,0,2.0,1,2015,0.1557,"1,597","$339,000",$212.27,$204.76,"$327,000",01/24/2024,175,175,78660,Single Family
1,8754950,C,PF,1008 Battenburg Trl,3,2,0,2.0,1,2003,0.1622,"1,167","$329,900",$282.69,$282.69,"$329,900",10/24/2023,14,14,78660,Single Family
1,9580971,C,PF,17917 Holderness Ln,4,3,0,2.0,2,1994,0.132,"2,502","$319,000",$127.50,$131.89,"$330,000",01/05/2024,10,3,78660,Single Family
1,9895607,C,PF,3309 Handsome Dr,3,2,0,2.0,1,2013,0.148,"1,604","$344,900",$215.02,$205.74,"$330,000",03/20/2024,69,69,78660,Single Family
1,3505911,C,PF,19229 Mangan Way,3,2,0,2.0,1,2007,0.1936,"1,705","$349,000",$204.69,$193.55,"$330,000",02/16/2024,38,76,78660,Single Family
1,5878950,C,PF,19417 Berringer Dr,3,2,0,2.0,1,2020,0.1435,"1,667","$340,500",$204.26,$197.96,"$330,000",03/04/2024,78,314,78660,Single Family
1,4711423,C,PF,15032 Donna Jane Loop,3,2,1,2.0,2,2002,0.1,"1,455","$330,000",$226.80,$226.80,"$330,000",01/30/2024,52,52,78660,Single Family
1,2179726,C,PF,17736 Loch Linnhe Loop,3,2,0,2.0,1,1998,0.1186,"1,247","$324,900",$260.55,$264.64,"$330,000",01/19/2024,104,103,78660,Single Family
1,2779068,C,PF,15401 Ora Ln,3,2,1,2.0,2,2002,0.1928,"2,073","$354,000",$170.77,$159.19,"$330,000",11/10/2023,44,44,78660,Single Family
1,2014889,C,PF,19228 Nicole Ln,3,2,0,2.0,1,2014,0.194,"1,585","$328,000",$206.94,$208.20,"$330,000",03/18/2024,12,12,78660,Single Family
1,5023541,C,PF,17605 Loch Linnhe Loop,3,2,1,2.0,2,1997,0.1289,"1,522","$345,000",$226.68,$216.82,"$330,000",11/03/2023,89,88,78660,Single Family
1,8324015,C,PF,17241 Tobermory Dr,3,2,1,2.0,2,1999,0.1162,"1,599","$329,000",$205.75,$206.69,"$330,500",04/11/2024,7,6,78660,Single Family
1,4306653,C,PF,13700 Cambourne Dr,4,2,1,2.0,2,1993,0.1691,"1,712","$345,000",$201.52,$194.51,"$333,000",01/04/2024,51,51,78660,Single Family
1,8652146,C,PF,17808 Great Basin Ave,3,2,1,2.0,2,2004,0.1045,"1,346","$329,900",$245.10,$248.44,"$334,400",03/26/2024,4,4,78660,Single Family
1,3084507,C,PF,16401 Malden Dr,3,2,0,2.0,1,1983,0.2004,"1,237","$334,999",$270.82,$270.82,"$334,999",10/27/2023,21,59,78660,Single Family
1,1611169,C,PF,1416 Morning Mist Ln,3,2,0,2.0,1,2008,0.1266,"1,355","$343,000",$253.14,$247.23,"$335,000",02/09/2024,50,50,78660,Single Family
1,7453693,C,PF,14820 Lantern Dr,3,2,0,2.0,1,2002,0.1321,"1,362","$349,000",$256.24,$249.63,"$340,000",04/17/2024,19,17,78660,Single Family
1,7719385,C,PF,521 Tudor House Rd,3,2,1,2.0,2,2004,0.2367,"1,870","$350,000",$187.17,$181.82,"$340,000",01/19/2024,31,31,78660,Single Family
1,8843749,C,PF,17312 Bridgefarmer Blvd,3,2,0,2.0,1,2012,0.1936,"1,601","$339,900",$212.30,$212.37,"$340,000",03/06/2024,144,140,78660,Single Family
1,8097567,C,PF,17206 Valley Glen Rd,3,2,0,2.0,1,1992,0.156,"1,481","$350,000",$236.33,$229.57,"$340,000",11/22/2023,9,8,78660,Single Family
1,5098413,C,PF,3509 Bach Dr,4,3,0,2.0,2,2010,0.1102,"2,088","$354,900",$169.97,$163.79,"$342,000",01/25/2024,47,47,78660,Single Family
1,6802944,C,PF,14612 Dreamtime Ln,3,2,0,2.0,1,2004,0.191,"1,824","$369,900",$202.80,$187.50,"$342,000",11/01/2023,79,78,78660,Single Family
1,3440028,C,PF,14108 Ceylon Tea Cir,3,2,1,2.0,2,2002,0.132,"1,745","$349,900",$200.52,$196.28,"$342,500",11/07/2023,98,97,78660,Single Family
1,4093849,C,PF,1007 Prairie Ridge Trl,4,2,0,2.0,1,1986,0.2043,"1,764","$369,900",$209.69,$195.01,"$344,000",03/11/2024,91,91,78660,Single Family
1,4172950,C,PF,15305 Mandarin Xing,3,2,1,2.0,2,2004,0.134,"1,660","$349,000",$210.24,$207.23,"$344,000",11/20/2023,9,9,78660,Single Family
1,8660948,C,PF,17312 Borromeo Ave,4,2,0,2.0,1,2019,0.144,"1,800","$374,000",$207.78,$191.39,"$344,500",12/11/2023,436,436,78660,Single Family
1,2755638,C,PF,17021 Bridgefarmer Blvd,4,2,1,2.0,2,2013,0.1936,"2,276","$345,000",$151.58,$151.58,"$345,000",04/05/2024,2,2,78660,Single Family
1,5230646,C,PF,1503 Blue Willow Ct,3,2,0,2.0,1,1996,0.1856,"1,482","$345,000",$232.79,$232.79,"$345,000",03/29/2024,2,2,78660,Single Family
1,8600544,C,PF,15331 Sweet Caddies Dr,2,2,0,2.0,1,2000,0.1292,"1,355","$368,560",$272.00,$254.61,"$345,000",02/21/2024,148,138,78660,Single Family
1,5521016,C,PF,14011 Levy Ln,3,2,1,2.0,2,2020,0.11,"1,795","$349,900",$194.93,$192.20,"$345,000",12/11/2023,75,75,78660,Single Family
1,9910591,C,PF,1701 Tea Leaf Dr,4,2,1,1.0,2,2007,0.1261,"1,439","$360,000",$250.17,$239.75,"$345,000",10/25/2023,84,84,78660,Single Family
1,2700455,C,PF,14700 Peregrine Dr,3,2,0,2.0,1,2016,0.155,"1,592","$361,000",$226.76,$216.71,"$345,000",01/24/2024,474,474,78660,Single Family
1,8901294,C,PF,18510 Mammoth Cave Blvd,3,2,1,2.0,2,2014,0.119,"1,496","$345,000",$230.61,$231.28,"$346,000",03/29/2024,1,1,78660,Single Family
1,1182557,C,PF,1505 Tea Leaf Dr,4,2,1,2.0,2,2007,0.1575,"1,590","$354,900",$223.21,$218.24,"$347,000",02/14/2024,20,20,78660,Single Family
1,3036571,C,PF,2800 Schwartz Ln,3,2,0,2.0,1,2023,0.02,"1,217","$348,720",$286.54,$286.54,"$348,720",04/16/2024,43,43,78660,Single Family
1,5721687,C,PF,18205 Bandelier Dr,3,2,0,2.0,1,2015,0.141,"1,487","$349,000",$234.70,$234.70,"$349,000",02/21/2024,4,3,78660,Single Family
1,8158326,C,PF,1008 Peppermint Trl,3,2,0,2.0,1,2006,0.1575,"1,346","$349,900",$259.96,$259.96,"$349,900",02/15/2024,42,42,78660,Single Family
1,5536109,C,PF,207 W Hoopes Ave,4,2,0,0.0,2,1948,0.3836,"1,801","$399,900",$222.04,$194.34,"$350,000",03/29/2024,1,56,78660,Single Family
1,7978797,C,PF,3312 Stirrat St,4,2,1,2.0,2,2014,0.1669,"2,307","$350,000",$151.71,$151.71,"$350,000",03/28/2024,18,160,78660,Single Family
1,2155363,C,PF,1300 Sleepytime Trl,3,2,1,2.0,2,2002,0.12,"1,422","$369,000",$259.49,$246.13,"$350,000",02/27/2024,23,22,78660,Single Family
1,6720477,C,PF,17304 Calipatria Ln,3,2,0,2.0,1,2019,0.1435,"1,597","$349,999",$219.16,$219.16,"$350,000",02/15/2024,11,11,78660,Single Family
1,5615546,C,PF,18016 Regis Dr,4,2,1,2.0,2,1999,0.3007,"2,163","$350,000",$161.81,$161.81,"$350,000",01/16/2024,1,1,78660,Single Family
1,2051111,C,PF,1417 Mangrum St,3,2,0,2.0,1,1984,0.3218,"1,296","$350,000",$270.06,$270.06,"$350,000",04/10/2024,85,84,78660,Single Family
1,7553481,C,PF,5913 Pleasanton Pkwy,3,2,1,2.0,2,2019,0.1423,"1,843","$360,000",$195.33,$189.91,"$350,000",02/13/2024,83,83,78660,Single Family
1,7196540,C,PF,18111 Bandelier Dr,3,2,0,2.0,1,2015,0.1414,"1,487","$369,999",$248.82,$235.37,"$350,000",02/13/2024,98,98,78660,Single Family
1,9907565,C,PF,1216 Mattapan Dr,4,2,1,2.0,2,1993,0.2045,"2,112","$450,000",$213.07,$165.72,"$350,000",02/29/2024,159,159,78660,Single Family
1,6823613,C,PF,100 Applewood Dr,4,2,0,2.0,1,1984,0.24,"1,751","$375,000",$214.16,$199.89,"$350,000",04/01/2024,125,125,78660,Single Family
1,1269590,C,PF,1501 Demaret St,3,2,0,2.0,1,1984,0.3188,"1,219","$379,000",$310.91,$287.12,"$350,000",10/31/2023,17,17,78660,Single Family
1,9793493,C,PF,13905 Heidhorn Dr,3,2,1,2.0,2,2019,0.1081,"1,795","$379,999",$211.70,$194.99,"$350,000",01/16/2024,152,152,78660,Single Family
1,8008392,C,PF,20806 Morgans Choice Ln,3,2,0,2.0,1,1996,0.1326,"1,666","$355,000",$213.09,$210.08,"$350,000",11/02/2023,51,99,78660,Single Family
1,4968834,C,PF,17119 Alturas Ave,3,2,0,2.0,1,2019,0.14,"1,563","$360,000",$230.33,$223.93,"$350,000",01/16/2024,97,97,78660,Single Family
1,2379839,C,PF,813 Watson Way,3,2,0,2.0,1,2009,0.138,"1,404","$335,000",$238.60,$250.00,"$351,000",03/04/2024,5,4,78660,Single Family
1,6063889,C,PF,616 Sweet Leaf Ln,3,2,0,2.0,1,2008,0.127,"1,618","$350,000",$216.32,$217.55,"$352,000",04/15/2024,5,5,78660,Single Family
1,2318338,C,PF,1118 Glendalough Dr,3,2,0,2.0,1,2000,0.2234,"1,902","$359,900",$189.22,$185.59,"$353,000",01/22/2024,154,153,78660,Single Family
1,8528807,C,PF,16908 Alturas Ave,3,2,0,2.0,1,2019,0.14,"1,539","$349,900",$227.36,$230.02,"$354,000",04/04/2024,1,1,78660,Single Family
1,1596607,C,PF,943 Kirtomy Loop,3,2,1,2.0,2,1996,0.1575,"1,718","$364,999",$212.46,$206.05,"$354,000",03/15/2024,88,96,78660,Single Family
1,6150231,C,PF,15204 Plowshare Dr,4,2,0,2.0,1,2001,0.132,"1,750","$375,000",$214.29,$202.67,"$354,675",03/15/2024,13,10,78660,Single Family
1,8726004,C,PF,15216 Hyson Xing,4,2,0,2.0,1,2004,0.1287,"1,707","$350,000",$205.04,$207.97,"$355,000",03/28/2024,5,5,78660,Single Family
1,5588076,C,PF,1115 Badlands Dr,3,2,0,2.0,1,2016,0.1476,"1,377","$359,999",$261.44,$257.81,"$355,000",11/07/2023,7,6,78660,Single Family
1,9251396,C,PF,1501 Massengale St,3,2,0,2.0,1,1985,0.3247,"1,201","$355,000",$295.59,$295.59,"$355,000",02/16/2024,74,74,78660,Single Family
1,2063860,C,PF,17937 Narsitin Ln,3,2,0,2.0,1,1998,0.1951,"2,189","$380,000",$173.60,$162.17,"$355,000",11/09/2023,56,56,78660,Single Family
1,2287000,C,PF,20212 Camargo Ct,4,2,1,2.0,2,2002,0.2156,"2,679","$400,000",$149.31,$132.51,"$355,000",11/17/2023,164,164,78660,Single Family
1,9255719,C,PF,17507 Wiseman Dr,4,2,1,2.0,2,2001,0.12,"2,684","$349,000",$130.03,$132.64,"$356,000",12/14/2023,10,9,78660,Single Family
1,3113680,C,PF,14017 Macquarie Dr,3,2,1,2.0,2,2020,0.11,"1,795","$349,900",$194.93,$198.61,"$356,500",01/25/2024,6,5,78660,Single Family
1,7069948,C,PF,15017 Mandarin Xing,3,2,1,2.0,2,2004,0.1454,"1,590","$387,000",$243.40,$224.33,"$356,688",11/17/2023,26,25,78660,Single Family
1,3415772,C,PF,17205 Alturas Ave,3,2,1,2.0,2,2019,0.14,"2,103","$384,000",$182.60,$170.00,"$357,500",01/19/2024,176,176,78660,Single Family
1,5337671,C,PF,16500 Edgemere Dr,3,2,0,2.0,1,1983,0.2499,"1,279","$365,000",$285.38,$281.47,"$360,000",03/01/2024,38,38,78660,Single Family
1,3990137,C,PF,837 Picadilly Dr,3,2,1,2.0,2,1996,0.1492,"1,936","$375,000",$193.70,$185.95,"$360,000",01/25/2024,39,39,78660,Single Family
1,5595681,C,PF,204 Gila Cliff Dr,3,2,1,2.0,2,2006,0.119,"2,073","$379,999",$183.31,$173.66,"$360,000",01/12/2024,49,49,78660,Single Family
1,7613775,C,PF,17126 Dashwood Creek Dr,3,2,1,2.0,2,1999,0.1284,"2,112","$364,000",$172.35,$172.35,"$364,000",10/20/2023,92,91,78660,Single Family
1,7828556,C,PF,1455 Roxannes Run,3,2,1,2.0,2,2001,0.265,"2,041","$365,000",$178.83,$178.49,"$364,300",11/06/2023,142,142,78660,Single Family
1,7223920,C,PF,13920 Heywood Dr,4,2,0,2.0,1,2019,0.1078,"1,672","$374,900",$224.22,$218.30,"$365,000",03/29/2024,3,3,78660,Single Family
1,9882343,C,PF,1119 Bryce Canyon Dr,3,2,0,2.0,1,2015,0.135,"1,405","$365,000",$259.79,$259.79,"$365,000",03/01/2024,4,4,78660,Single Family
1,6566261,C,PF,18129 Glacier Bay St,4,2,1,2.0,2,2006,0.1841,"1,965","$374,900",$190.79,$185.75,"$365,000",02/15/2024,20,20,78660,Single Family
1,9361007,C,PF,1800 Darjeeling Dr,4,2,1,2.0,2,2005,0.1723,"1,870","$369,900",$197.81,$195.19,"$365,000",01/31/2024,81,81,78660,Single Family
1,9767229,C,PF,16942 Cactus Blossom Dr,3,2,0,2.0,1,1986,0.1353,"1,419","$374,999",$264.27,$257.22,"$365,000",12/21/2023,22,21,78660,Single Family
1,2348134,C,PF,101 Gila Cliff Dr,3,2,0,2.0,1,2005,0.14,"1,635","$349,999",$214.07,$223.24,"$365,000",10/31/2023,76,76,78660,Single Family
1,8154367,C,PF,545 Tanner Trl,3,2,1,2.0,2,1990,0.2009,"1,665","$360,000",$216.22,$220.42,"$367,000",03/14/2024,6,6,78660,Single Family
1,2655799,C,PF,609 Landon Samuel Loop,3,2,0,2.0,1,2017,0.2728,"1,647","$367,000",$222.83,$222.83,"$367,000",10/31/2023,6,5,78660,Single Family
1,4285581,C,PF,14113 Macquarie Dr,3,2,0,2.0,1,2020,0.1,"1,521","$376,000",$247.21,$241.29,"$367,000",11/01/2023,98,98,78660,Single Family
1,9324604,C,PF,14504 Koti Way,3,2,0,2.0,1,2023,0.14,"1,474","$367,990",$249.65,$249.65,"$367,990",03/13/2024,27,27,78660,Single Family
1,8429863,C,PF,14117 Berning Rd,4,2,1,2.0,2,2023,0.14,"1,950","$379,990",$194.87,$188.71,"$367,990",12/01/2023,49,49,78660,Single Family
1,8404242,C,PF,17805 Shafer Ln,4,2,0,2.0,1,2024,0.0,"1,827","$384,990",$210.72,$201.42,"$368,000",03/12/2024,55,55,78660,Single Family
1,7672391,C,PF,19317 Colgin Dr,4,2,0,2.0,1,2020,0.1435,"1,966","$375,000",$190.74,$187.18,"$368,000",01/12/2024,45,45,78660,Single Family
1,7219734,C,PF,501 E Pfluger St,3,2,1,2.0,2,2001,0.329,"1,877","$364,900",$194.41,$196.32,"$368,500",02/01/2024,69,69,78660,Single Family
1,8495082,C,PF,1104 Connemara Ln,3,2,0,2.0,1,2002,0.168,"1,812","$368,000",$203.09,$203.64,"$369,000",04/16/2024,21,21,78660,Single Family
1,6154610,C,PF,1508 Spring Peony Ct,3,2,0,2.0,1,2000,0.194,"1,826","$369,000",$202.08,$202.08,"$369,000",12/20/2023,26,25,78660,Single Family
1,8095520,C,PF,17604 Wiseman Dr,4,2,1,2.0,2,2001,0.1147,"2,277","$375,000",$164.69,$162.49,"$370,000",03/14/2024,15,182,78660,Single Family
1,7945066,C,PF,1236 Bunratty Cir,3,2,1,2.0,2,1997,0.183,"1,822","$384,500",$211.03,$203.07,"$370,000",02/15/2024,67,66,78660,Single Family
1,5393208,C,PF,4807 Portillo Way,3,2,0,2.0,1,2019,0.0,"1,427","$384,000",$269.10,$259.29,"$370,000",03/15/2024,131,130,78660,Single Family
